PRINCIPI ATTIVI,FORMATO,LINK ALLA SCHEDA INFORMATIVA E DIARIO PAZIENTE
TEMOZOLOMIDE (SCHEMA TERAPIA 5 GG),MODIFICABILE,https://docs.google.com/presentation/d/1hhrWD7ePs2NNhgxUvHSJJhJbXAMz7pYA/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
TEMOZOLOMIDE (SCHEMA TERAPIA 42 GG),MODIFICABILE,https://docs.google.com/presentation/d/1wjPEssu6vssb5LVPyOfBtEcdDait9pFI/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
PALBOCICLIB+EXEMESTANE,MODIFICABILE,https://docs.google.com/presentation/d/19FeTwucwyt0uYLUDwyZSqgFa70FqOT-n/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
PALBOCICLIB+LETROZOLO,MODIFICABILE,https://docs.google.com/presentation/d/1p5UPSz4niv2229-h8s52BCB5DbB9gLpN/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
PALBOCICLIB+ANASTROZOLO,MODIFICABILE,https://docs.google.com/presentation/d/1KkmF_V2oN863l_O1LFVuACp5I4rZtJT6/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
SONIDEGIB,MODIFICABILE,https://docs.google.com/presentation/d/1NBsVTq5AZ38WvsxeXXm-T5kXrpqv2Ng9/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CAPECITABINA+TUCATINIB,MODIFICABILE,https://docs.google.com/presentation/d/1WcMUGDxZdvrE-__pD7vdibQ2xd2k5mia/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CAPECITABINA + VINORELBINA (Q3W),MODIFICABILE,https://docs.google.com/presentation/d/1DjD765MEbImAxXLZZbMs0IYfufdOJ3Wj/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CAPECITABINA METRONOMICA +VINORELBINA (Q3W) (21 GG),MODIFICABILE,https://docs.google.com/presentation/d/1dDhDKI8BhXcxPuJdccSuIFtB9LjDMeQQ/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CAPECITABINA METRONOMICA +VINORELBINA (Q4W) (28 GG),MODIFICABILE,https://docs.google.com/presentation/d/18zWdccDVr_B996gPdLvQ1OmwDuYvhSNg/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
VINORELBINA Q1W (+ TRASTUZUMAB Q3W),MODIFICABILE,https://docs.google.com/presentation/d/149IxLPGpD_xYyfAV_RlgTgazah20iDrw/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
"VINORELBINA METRONOMICA 1,3,5 GG Q3W",MODIFICABILE,https://docs.google.com/presentation/d/17Ska4w5N-B9jdqInRP4-AstW5U8GU7U5/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
"VINORELBINA METRONOMICA 1,3,5 GG Q4W",MODIFICABILE,https://docs.google.com/presentation/d/17Ska4w5N-B9jdqInRP4-AstW5U8GU7U5/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
"VINORELBINA 1,8 GG Q3W",MODIFICABILE,https://docs.google.com/presentation/d/1GBc1JrAGXaCQEisuXsUtizVeC64TFvnm/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
DABRAFENIB+TRAMETINIB,MODIFICABILE,https://docs.google.com/presentation/d/1PQ5ni_WErwnbR-m6bSW9q14bdzH_3Ybn/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
SOTORASIB,MODIFICABILE,https://docs.google.com/presentation/d/1_cN1OomIhZlat5vMqA1UKN7ZysVqDSjZ/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CABOZANTINIB,MODIFICABILE,https://docs.google.com/presentation/d/1PZQtZMsivqj--ZTfkWPO8LP3fcVZ_Kb3/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
TRIFLURIDINA/TIPIRACIL,MODIFICABILE,https://docs.google.com/presentation/d/1bs64kca7fHuGm4K-l_bz2Z1S7TZGhIg7/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
